timestamp	iteration	invariant_name	outcome	commit_hash	sub_tests	notes
2026-04-16	16	ohms_law_decomposition	test-added	515cafe		fresh invariant #7 — E' + E_ideal = E (Ohm's law closure), E_ideal·B = 0, shear angle self = 0, antiparallel = π. Tolerance ~1e-7 for arccos near ±1 (inherent √(2ε) amplification, not bug).
2026-04-16	17	arrow_particle_roundtrip	test-added	1e1ebe0		fresh invariant #8 — particles_from_arrow(particles_to_arrow(pcl)) preserves species scalars (through json.dumps/loads) + per-particle arrays + id (int64) + macro_charge identity. Distinct from iter-6 Zarr test since Arrow routes scalars through JSON.
2026-04-16	18	parseval_boxcar	test-added	98d222f		fresh invariant #9 — ∫P(k)dk = var(field) bit-exact for boxcar; pure sinusoid integrates to A²/2. Tapered-window Parseval intentionally dropped as ill-posed (window tapering zeros boundary-concentrated content). Not counted as strategy shrink — the sub-test was dropped, not narrowed.
2026-04-16	19	lorentz_consistency	test-added+tol-fix	357520e		fresh invariant #10 — 3v and 4v Lorentz formulas agree bit-exact, γ(0)=1, γ even, γ≥1, σ≥0, σ(B=0)=0. Also loosened iter-16 ohms_law atol 1e-14→1e-12 (V×B cancellation roundoff ~100·eps at V,B±10).
2026-04-16	20	pressure_two_path	test-added	587faef		fresh invariant #11 — total_pressure(Pe,Pi) == isotropic(P11_s0+P11_s1,...) (split-then-add vs add-then-divide); isotropic = Tr/3 bit-exact; total_pressure commutative + associative to 1-ulp. 20th iteration — loop HALT per contract.
2026-04-16	21	audit_trim	audit-trim	ea46687		post-run audit (plans/staged-dazzling-map.md): dropped iter-13 α+β linearity sub-tests (implicitly validated by div(curl)=0 / curl(grad)=0); deleted iter-17 arrow-roundtrip file (overlaps 4 tests in test_arrow_parquet_io.py); trimmed 2/3 sub-tests from iter 20 (Tr/3 tautology + commutative/associative triviality). 16 files → 15, ~65 properties → ~60. Bug coverage unchanged.
2026-04-16	22	relativistic_speed_bounds	test-added+tol-fix	e1e64d8	5	fresh invariant #12 — v_A_rel ≤ c, v_ms_rel ≤ c, v_ms ≥ max(v_A, c_s), v_th_rel ≤ c + non-rel v_ms can exceed c (guard). Hypothesis found a boundary case: v_A = c_s = c triggers sqrt(c²) 1-ulp IEEE-754 overshoot in v_ms computation. Added atol = 4·eps·c to v_ms bound assertion — algebraic bound holds, overshoot is fundamental float64 sqrt property (analogous to iter 19 V×B cancellation atol). Not a strategy-shrink: full [0, c] domain still tested.
2026-04-16	23	entropy_identities	test-added	073611e	4	fresh invariant #13 — at isotropy P_par=P_perp=P: s_gyro(P,P,n) = 3·s(P,n,γ=5/3) (CGL / 3D-γ coincidence from equations.md [^1]); entropy scaling under P, n; gyrotropic CGL exponents (1, 2, 5) verified simultaneously via α-scaling of each arg. All four sub-tests float64-tight (rtol 1e-13, atol 1e-11 for 5·ln(α) amplification).
2026-04-16	24	lagrange_identity	test-added	0b887e4	1	fresh invariant #14 — |E×B|² + (E·B)² = |E|²·|B|² (Lagrange identity); energy-density form |S|² + (E·B)² = 4·e_E·e_B (exercises magnetic/electric_energy_density against raw magnitudes); S·E = 0 complementary to iter-15 S·B = 0 (both needed — a swap of e_i ↔ b_i in expansion preserves one but breaks the other). No counterexample found. (sub_tests reflects iter-32 trim: dropped energy-form duplicate + S·E=0 complement.)
2026-04-16	25	hall_and_ideal_perpendicularity	test-added	f76eaeb	4	fresh invariant #15 — completes Ohm's-law perpendicularity coverage. iter 16 had E_ideal·B = 0; this adds E_ideal·V = 0 + E_Hall·J = 0 + E_Hall·B = 0 (both Hall-term orthogonalities — division by n|q| preserves direction). Plus charge-sign invariance: hall_electric_field(q) == hall_electric_field(-q) bit-exact, guarding the |q| in derived.py:1752 formula.
2026-04-16	26	energy_flux_decomposition	test-added+ill-posed-drop	1cfb743	2	fresh invariant #16 — KEF cubic-in-V scaling (catches |V|^n with wrong n), EHF bilinear in (P, V). Originally also planned HF+KEF=EF and q+EHF=HF bit-exact; Hypothesis found ef=0.05, kef=1.0 → 1-ulp FP residual. Claim was ill-posed (equations.md [^ef] "exact" = physically exact, not float64-exact); dropped per fitness rule "do not weaken to pass" rather than softening to tolerance (would reduce to tautological "addition inverts subtraction"). 2/4 sub-tests retained.
2026-04-16	27	agyrotropy_rotation	test-added+strategy-shrink	d509b1b	2	fresh invariant #17 — Q(R·P·R^T, R·B) == Q(P, B) for arbitrary rotation (stronger than iter 10's Tr/P_par/P_perp; exercises full Swisdak agyrotropy formula including the Π double-projection). Plus: Q=0 for isotropic P at arbitrary B (extends test_derived.py fixed-axis test). Strategy shrink: Hypothesis found all-zero P → Q=0/0 NaN; narrowed diagonal components to (0.1, 5.0] (positive pressure is physical); off-diagonals keep full [-5, 5] range. Previous shrink was iter 13 — not consecutive.
2026-04-16	28	diagnostic_norm_properties	test-added+docstring-skip	dc04ffa	2	fresh invariant #18 — metric properties of l2_relative_error + linf_error: l2(αa, αb) = l2(a,b) scale invariance, linf(αa, αb) = |α|·linf(a,b) homogeneity, linf symmetric, self-distance = 0. Hypothesis found subnormal a ≈ 1e-308 where sum(a²) underflows to 0 → matches diagnostics.py:119 "nan if both are all zeros" docstring. Widened skip from np.all(a==0) to sum(a²)==0 to match the float64 contract exactly. Not a strategy shrink: strategy unchanged, test logic acknowledges documented behavior (analogous to iter 22 boundary handling). (sub_tests reflects iter-32 trim: dropped linf-symmetric + self-distance.)
2026-04-16	29	cartesian_alias_equivalence	bug-surfaced+tol-fix	83e6a68	0	Property test exposed a real bug: _build_aliases in grid.py produces B0x → B01 (no underscore), but canonical per schema.md § "Split-B naming" + fields.py + BATSRUS reader is B0_1. Fix requires mutating existing tests/test_structured_aliases.py::test_b0x_alias_resolves which codifies the buggy behavior — outside autoresearcher contract scope ("loop does not mutate non-invariant tests"). Surfaced to user; fix deferred. Side-effect: found + fixed latent flakiness in iter 22 thermal speed test (same 1-ulp sqrt(c·c) overshoot class as v_ms at extreme v_th/c). (sub_tests=0: property test was reverted in this commit; only the iter-22 atol tightening landed.)
2026-04-16	30	reduction_identities	test-added	fba13a5	5	fresh invariant #20 — linearity/homogeneity of the three diagnostic reductions: field_energy linear in f + scales as α^ndim in spacing (guards math.prod(spacing)), spatial_mean bilinear in (αf+βg), spatial_rms(αf) = |α|·spatial_rms(f), rms²=mean(f²) cross-identity. Plus a constant-field sanity check E(c, Δx) = c·V. field_energy linearity catches any accidental L2-norm² refactor (conventions.md: "computes Σf·ΔV, not Σf²·ΔV"). 6 sub-tests, 16 seeds pass. (sub_tests reflects iter-32 trim: dropped uniform-field redundant case.)
2026-04-16	n/a	b0_alias_fix	fix-landed	1fcbab4	1	Follow-up to iter 29: user approved plan + fix landed. grid.py:_build_aliases and transforms.py:_build_vector_triplet_regex now auto-insert "_" before component index when canonical prefix ends in a digit. Closes the silent-physics bug where transform_to() on BATSRUS data skipped B0 rotation. Updated 2 existing audit tests (outside autoresearcher scope — needed user approval to mutate). Added the property test (9 parametrized prefixes) as regression guard. 2132 full-suite pass.
2026-04-16	31	beta_additivity	test-added	256f84c	2	fresh invariant #21 — β = β_e + β_i when P = Pe + Pi, exercised through ds.compute("beta"/"beta_e"/"beta_i") which forces the composition path through total_pressure(Pe, Pi) in the compute registry. Plus: scaling Pe by α leaves β_i untouched and scales β_e linearly (guards against per-species pressures leaking across the electron/ion split). 2 sub-tests, 12 seeds pass, rtol 1e-13.
2026-04-16	32	audit_trim_v2	audit-trim	4f21c6a	-5	post-iter-31 audit (mirrors b4783bf): dropped 5 weak sub-tests across iters 24/28/30 (Lagrange energy-form duplicate + S·E=0 marginal complement; linf symmetry trivially-true + self-distance trivially exact; field_energy uniform-field redundant with linearity). Side-fix: replaced iter-25 Hall perpendicularity fixed atol with principled |a|·|b|·100·eps bound — caught a flake at small n|q| (residual ~1.5e-11 vs old atol=1e-11). Net: 41 → 36 sub-tests across iters 22-31; 2134 → 2129 full-suite pass. Bug coverage unchanged.
